"Timestamp","Bid_Open","Bid_High","Bid_Low","Bid_Close","Bid_Volume","Ask_Open","Ask_High","Ask_Low","Ask_Close","Ask_Volume","Class"
'2012-01-22T23:00:00',1.33368,1.33776,1.33088,1.33257,69568.5599,1.33416,1.33837,1.33156,1.33343,68701.6606,False
'2012-01-23T23:00:00',1.33283,1.33455,1.32713,1.32971,79390.6002,1.33365,1.33623,1.32783,1.33079,79922.2605,True
'2012-01-24T23:00:00',1.32891,1.33947,1.32254,1.33691,102539.8597,1.32973,1.33999,1.32399,1.33772,102756.1802,True
'2012-01-25T23:00:00',1.33691,1.34117,1.33218,1.33666,86726.4003,1.3377,1.34169,1.33302,1.33762,84703.4502,False
'2012-01-26T23:00:00',1.33666,1.33842,1.33015,1.33275,98359.8607,1.3377,1.33891,1.33083,1.33363,99941.9602,False
'2012-01-29T23:00:00',1.33102,1.33256,1.32609,1.33245,108795.9597,1.33193,1.33393,1.32646,1.33338,108679.5703,True
'2012-01-30T23:00:00',1.33237,1.33708,1.32952,1.33603,99609.5608,1.33338,1.33759,1.33038,1.33693,100841.4795,True
'2012-01-31T23:00:00',1.33603,1.34277,1.3305,1.33853,96156.2096,1.33697,1.34402,1.33106,1.3397,94924.6805,False
'2012-02-01T23:00:00',1.33796,1.34059,1.33315,1.33569,94825.2499,1.33835,1.34163,1.33372,1.33635,91478.6798,False
'2012-02-02T23:00:00',1.33563,1.33998,1.33075,1.33749,90380.1703,1.33629,1.34085,1.33124,1.33859,91155.5803,True
'2012-02-05T23:00:00',1.33689,1.34123,1.33352,1.33673,77072.77,1.33727,1.34174,1.33395,1.33707,78752.0499,True
'2012-02-06T23:00:00',1.33646,1.34813,1.33518,1.34553,92875.5203,1.33696,1.34853,1.33606,1.34663,91942.53,True
'2012-02-07T23:00:00',1.34534,1.34919,1.33935,1.34545,78234.9692,1.34584,1.34972,1.33983,1.34659,79920.3297,True
'2012-02-08T23:00:00',1.34503,1.34947,1.33944,1.34583,91621.9197,1.34541,1.3501,1.34013,1.34703,92687.26,False
'2012-02-09T23:00:00',1.34567,1.34691,1.34148,1.34578,92024.2804,1.34675,1.34776,1.3422,1.34686,92202.27,True
'2012-02-12T23:00:00',1.34436,1.35031,1.34269,1.34642,86906.6303,1.34538,1.35075,1.34344,1.34678,86803.3303,True
'2012-02-13T23:00:00',1.34637,1.35465,1.34488,1.35049,107662.6287,1.34675,1.35586,1.34587,1.35156,106284.969,True
'2012-02-14T23:00:00',1.35013,1.3564,1.34825,1.35118,108298.0497,1.35131,1.35703,1.34901,1.35226,106948.2796,True
'2012-02-15T23:00:00',1.35108,1.36005,1.35029,1.35572,111039.751,1.35226,1.36067,1.35106,1.35651,108015.7394,True
'2012-02-16T23:00:00',1.35572,1.36104,1.34557,1.34659,86344.5807,1.3565,1.36144,1.34625,1.34695,87890.3503,False
'2012-02-19T23:00:00',1.34911,1.35292,1.34395,1.34661,61469.5307,1.34949,1.35406,1.34465,1.34701,61859.1898,False
'2012-02-20T23:00:00',1.34553,1.34765,1.33921,1.34049,95104.7599,1.346,1.34834,1.34002,1.34128,96525.0994,False
'2012-02-21T23:00:00',1.3405,1.34228,1.33559,1.33799,89216.8004,1.34135,1.34265,1.33633,1.33883,91556.859,True
'2012-02-22T23:00:00',1.33802,1.34546,1.33581,1.34368,80842.0698,1.33888,1.34613,1.33671,1.34488,79639.2505,True
'2012-02-23T23:00:00',1.34293,1.34887,1.34001,1.34257,78433.6299,1.3434,1.34939,1.34212,1.34364,79140.05,True
'2012-02-26T23:00:00',1.34238,1.35198,1.33969,1.35049,85122.6906,1.34284,1.35342,1.34098,1.35133,86234.6096,False
'2012-02-27T23:00:00',1.35038,1.35135,1.34452,1.34638,80624.599,1.35122,1.35187,1.34554,1.34722,82975.3788,False
'2012-02-28T23:00:00',1.34599,1.35028,1.33997,1.34283,92753.3887,1.34637,1.35088,1.34094,1.34375,93486.2,True
'2012-02-29T23:00:00',1.34285,1.35043,1.34137,1.34972,85073.3406,1.34403,1.35202,1.34223,1.35011,87051.8207,True
'2012-03-01T23:00:00',1.34983,1.35088,1.3417,1.34337,68036.9903,1.35023,1.35206,1.34243,1.34457,70620.6503,False
'2012-03-04T23:00:00',1.34225,1.34761,1.33985,1.34151,71974.1899,1.34263,1.34808,1.34093,1.34248,73831.2891,False
'2012-03-05T23:00:00',1.34183,1.34342,1.33107,1.33353,93427.2498,1.34248,1.34406,1.33165,1.33416,94237.6603,False
'2012-03-06T23:00:00',1.33338,1.3353,1.32815,1.33066,82216.3398,1.33415,1.33644,1.32854,1.33172,81509.0292,False
'2012-03-07T23:00:00',1.33066,1.33517,1.32564,1.33081,79928.2696,1.33179,1.33585,1.32798,1.33173,79536.7001,False
'2012-03-08T23:00:00',1.33038,1.33478,1.32466,1.32618,74540.629,1.3308,1.33584,1.32564,1.32727,76828.53,False
'2012-03-11T22:00:00',1.32482,1.32925,1.32149,1.32435,70824.6301,1.32518,1.32965,1.32185,1.32491,71529.3988,False
'2012-03-12T22:00:00',1.32294,1.32824,1.32188,1.3277,84755.5303,1.3235,1.32895,1.32255,1.32862,84057.3503,True
'2012-03-13T22:00:00',1.3277,1.33009,1.32246,1.3246,88136.41,1.32872,1.33044,1.32306,1.32516,87231.5696,True
'2012-03-14T22:00:00',1.32478,1.33176,1.32255,1.32841,84071.68,1.32534,1.33215,1.3239,1.32947,84543.3297,True
'2012-03-15T22:00:00',1.32841,1.33366,1.32565,1.3308,74948.4302,1.32947,1.33438,1.32615,1.33136,75260.6301,True
'2012-03-18T22:00:00',1.33166,1.33496,1.32848,1.33115,67161.4002,1.33219,1.33603,1.32934,1.33185,68375.0797,False
'2012-03-19T22:00:00',1.33092,1.33436,1.32203,1.32476,83052.8301,1.33198,1.33494,1.32274,1.32593,81118.0001,False
'2012-03-20T22:00:00',1.32365,1.32746,1.31715,1.32093,84401.1795,1.32398,1.32784,1.31885,1.32127,85496.3398,False
'2012-03-21T22:00:00',1.32083,1.32301,1.3101,1.31475,92841.1108,1.32116,1.32477,1.31056,1.31588,93539.8697,False
'2012-03-22T22:00:00',1.31431,1.32159,1.31156,1.31728,79213.0304,1.31463,1.32292,1.31197,1.31762,79271.3099,True
'2012-03-25T23:00:00',1.31887,1.32765,1.31664,1.32385,73069.6809,1.3192,1.32824,1.31727,1.32492,75070.6097,False
'2012-03-26T23:00:00',1.32385,1.32527,1.31435,1.31497,72403.4006,1.32505,1.32629,1.31517,1.31603,71417.8104,False
'2012-03-27T23:00:00',1.31494,1.31576,1.30259,1.30615,85812.269,1.31605,1.31691,1.30384,1.30675,84050.9504,False
'2012-03-28T23:00:00',1.3059,1.30781,1.2986,1.30659,80938.1094,1.30691,1.30912,1.29964,1.30768,80369.9698,True
'2012-03-29T23:00:00',1.30651,1.30906,1.29843,1.29877,55135.7702,1.30692,1.30945,1.29893,1.29936,53741.14,False
'2012-03-31T23:00:00',1.29877,1.29877,1.29771,1.29771,0.0,1.29936,1.29936,1.29809,1.29809,0.0,True
'2012-04-01T23:00:00',1.30828,1.30914,1.30091,1.30566,50977.9497,1.30878,1.31082,1.30131,1.30584,52349.4396,False
'2012-04-02T23:00:00',1.30517,1.30884,1.29315,1.2947,88467.2603,1.30624,1.31018,1.29372,1.29508,88204.3302,False
'2012-04-03T23:00:00',1.29556,1.29721,1.29,1.29278,92154.3209,1.29596,1.29851,1.29056,1.29382,92066.59,True
'2012-04-04T23:00:00',1.29228,1.29889,1.29147,1.29675,77374.0704,1.29344,1.29964,1.29187,1.29795,76365.7499,True
'2012-04-05T23:00:00',1.29665,1.30048,1.29341,1.29785,27841.9096,1.29705,1.30227,1.2947,1.29823,26559.89,True
'2012-04-08T23:00:00',1.2953,1.30305,1.29439,1.30086,38428.4797,1.2957,1.30405,1.29488,1.30204,39776.2798,True
'2012-04-09T23:00:00',1.30023,1.30336,1.29267,1.29374,88105.9397,1.3007,1.30387,1.29332,1.2948,88131.1099,False
'2012-04-10T23:00:00',1.29374,1.29855,1.29094,1.29517,79262.1098,1.29492,1.29912,1.29152,1.29613,78934.8297,True
'2012-04-11T23:00:00',1.29511,1.30929,1.29452,1.30864,83298.2494,1.29613,1.31072,1.29589,1.30984,82617.1502,False
'2012-04-12T23:00:00',1.30838,1.30846,1.29122,1.29416,77327.2107,1.30876,1.30993,1.29212,1.29533,76519.1601,False
'2012-04-15T23:00:00',1.29192,1.29636,1.28944,1.29212,90620.3999,1.29239,1.29673,1.28986,1.29313,90179.591,True
'2012-04-16T23:00:00',1.29214,1.29959,1.29087,1.29678,76354.4211,1.29318,1.30058,1.29131,1.29797,76774.3601,False
'2012-04-17T23:00:00',1.29666,1.29976,1.29285,1.29517,73931.3195,1.29767,1.30017,1.2938,1.29625,72678.2692,False
'2012-04-18T23:00:00',1.29527,1.29906,1.29096,1.29255,86653.2909,1.29631,1.29945,1.29155,1.29361,85634.0504,False
'2012-04-19T23:00:00',1.29225,1.29615,1.29009,1.29518,69625.6201,1.29263,1.29695,1.29053,1.29637,68967.4294,False
'2012-04-22T23:00:00',1.29401,1.29601,1.28381,1.28676,68874.0396,1.29439,1.29663,1.28426,1.28776,69961.95,False
'2012-04-23T23:00:00',1.28669,1.28835,1.27865,1.28487,68668.0096,1.28775,1.28896,1.27993,1.28593,68212.2605,True
'2012-04-24T23:00:00',1.28504,1.2883,1.28387,1.28746,63809.8092,1.28608,1.28932,1.2846,1.28814,63466.1296,True
'2012-04-25T23:00:00',1.28636,1.28961,1.28543,1.28885,60420.1007,1.28694,1.29062,1.28607,1.28985,53157.9792,True
'2012-04-26T23:00:00',1.28759,1.2959,1.28496,1.29516,55274.8105,1.28817,1.29671,1.28563,1.29627,57235.7101,False
'2012-04-29T23:00:00',1.29338,1.2948,1.28715,1.28996,43728.5103,1.29397,1.29683,1.28752,1.29044,42452.71,False
'2012-04-30T23:00:00',1.28972,1.29011,1.27536,1.2766,34932.8702,1.29077,1.29154,1.2758,1.27762,37773.2698,False
'2012-05-01T23:00:00',1.2766,1.28165,1.27613,1.27997,52688.7,1.27766,1.28244,1.27645,1.28113,52308.6007,False
'2012-05-02T23:00:00',1.27988,1.28054,1.27317,1.27638,52930.7198,1.28088,1.28233,1.27358,1.27678,51652.1005,False
'2012-05-03T23:00:00',1.27619,1.27678,1.26501,1.26553,56350.2596,1.27659,1.27723,1.26544,1.26655,51192.48,False
'2012-05-06T23:00:00',1.26614,1.27299,1.26247,1.27005,52370.3204,1.26654,1.27343,1.26366,1.27095,53236.1996,False
'2012-05-07T23:00:00',1.2694,1.27253,1.25978,1.26205,58426.2299,1.26974,1.27337,1.26029,1.26315,60874.7995,False
'2012-05-08T23:00:00',1.26156,1.26256,1.25659,1.25876,77562.6298,1.2619,1.26304,1.25704,1.25934,76107.5805,True
'2012-05-09T23:00:00',1.25811,1.26653,1.25688,1.26045,72960.8996,1.25845,1.26692,1.25737,1.26125,77020.4102,False
'2012-05-10T23:00:00',1.26056,1.26185,1.25399,1.25464,68704.1098,1.26125,1.26218,1.25435,1.2557,69775.0195,False
'2012-05-13T23:00:00',1.25352,1.25626,1.25189,1.2526,65264.78,1.25386,1.25672,1.25245,1.2536,63676.3898,True
'2012-05-14T23:00:00',1.2526,1.25732,1.2513,1.2532,70831.6701,1.25371,1.25774,1.252,1.25421,71137.4398,True
'2012-05-15T23:00:00',1.25313,1.2624,1.25226,1.25707,92005.4905,1.25421,1.26278,1.25264,1.25822,88934.38,False
'2012-05-16T23:00:00',1.25707,1.26055,1.25468,1.25745,80339.7699,1.25823,1.26109,1.25534,1.25862,78890.8895,False
'2012-05-17T23:00:00',1.2577,1.25963,1.25007,1.2533,83693.9194,1.25875,1.26117,1.25084,1.25364,86936.0803,False
'2012-05-20T23:00:00',1.25245,1.25864,1.24928,1.25835,72066.5702,1.25278,1.25955,1.25001,1.25905,71266.9996,False
'2012-05-21T23:00:00',1.25787,1.25816,1.24765,1.24919,74831.8194,1.25819,1.25923,1.24814,1.25033,72261.9997,False
'2012-05-22T23:00:00',1.24902,1.24948,1.24042,1.24475,89311.3399,1.24935,1.25053,1.24084,1.24565,89902.0295,False
'2012-05-23T23:00:00',1.24445,1.24867,1.24097,1.24658,93720.0903,1.24478,1.24915,1.24168,1.24758,88017.9205,True
'2012-05-24T23:00:00',1.24645,1.25259,1.24506,1.25003,74202.5299,1.24758,1.25294,1.24554,1.25037,75924.0299,True
'2012-05-27T23:00:00',1.25255,1.26031,1.24998,1.25756,49456.1401,1.25288,1.26074,1.25142,1.25854,48484.8097,True
'2012-05-28T23:00:00',1.25696,1.26126,1.25388,1.25845,83814.6599,1.25729,1.26167,1.25435,1.25935,79394.4602,False
'2012-05-29T23:00:00',1.25861,1.25868,1.2492,1.25035,81171.8799,1.25973,1.26042,1.24955,1.25085,80669.9603,False
'2012-05-30T23:00:00',1.25015,1.25742,1.24669,1.25405,90365.0503,1.25113,1.25835,1.24704,1.25465,92221.8408,False
'2012-05-31T23:00:00',1.25387,1.25387,1.24188,1.2527,94449.2896,1.25485,1.25541,1.2431,1.25305,92621.7601,False
'2012-06-03T23:00:00',1.25269,1.25366,1.24306,1.25171,71762.42,1.25302,1.25542,1.24352,1.25272,70878.1096,True
'2012-06-04T23:00:00',1.25172,1.25946,1.24988,1.25306,89645.351,1.25271,1.25983,1.25046,1.25354,90836.0303,True
'2012-06-05T23:00:00',1.25262,1.26596,1.25224,1.26506,92348.7801,1.25382,1.26645,1.25305,1.26574,92535.4199,True
'2012-06-06T23:00:00',1.26491,1.27415,1.25966,1.26329,94202.1691,1.26607,1.27537,1.26105,1.26429,92973.8098,False
'2012-06-07T23:00:00',1.26322,1.27406,1.26126,1.27015,98902.6503,1.2642,1.27518,1.26175,1.27045,96292.4398,True
'2012-06-10T23:00:00',1.27199,1.27521,1.26775,1.26817,84938.6899,1.27235,1.2763,1.26889,1.26933,81593.3392,True
'2012-06-11T23:00:00',1.2683,1.27806,1.2669,1.2761,92908.0768,1.26931,1.27878,1.26765,1.2767,92001.9315,True
'2012-06-12T23:00:00',1.276,1.27855,1.27326,1.27456,86965.659,1.2766,1.27899,1.27417,1.27494,88704.3237,True
'2012-06-13T23:00:00',1.27394,1.28225,1.2729,1.28043,89322.6003,1.27432,1.28305,1.2736,1.28152,90148.2703,False
'2012-06-14T23:00:00',1.2804,1.28154,1.27633,1.27859,76788.0706,1.28149,1.28293,1.27677,1.27899,75072.1704,True
'2012-06-17T23:00:00',1.28148,1.28797,1.27879,1.28514,93882.6804,1.28187,1.28854,1.27994,1.28631,94750.9807,True
'2012-06-18T23:00:00',1.28511,1.2918,1.28305,1.29015,85255.4601,1.28629,1.29235,1.28345,1.29115,84448.2295,True
'2012-06-19T23:00:00',1.28985,1.29487,1.28808,1.2928,90012.4798,1.29026,1.29575,1.28884,1.29395,89070.1402,False
'2012-06-20T23:00:00',1.29214,1.29455,1.28125,1.28276,103672.1797,1.29255,1.29524,1.28255,1.28334,99724.0597,False
'2012-06-21T23:00:00',1.28164,1.28556,1.27936,1.28467,89038.5204,1.28205,1.28656,1.27968,1.28509,88027.4602,True
'2012-06-24T23:00:00',1.28132,1.28613,1.27999,1.28234,76527.2407,1.28173,1.28651,1.28041,1.28343,74266.2497,True
'2012-06-25T23:00:00',1.28234,1.28756,1.28086,1.28458,84223.1207,1.28347,1.28794,1.2816,1.28569,86502.18,True
'2012-06-26T23:00:00',1.28463,1.28761,1.28356,1.28609,73052.9997,1.28576,1.28832,1.28394,1.28722,73303.0408,True
'2012-06-27T23:00:00',1.28544,1.29135,1.28144,1.2854,97409.6106,1.28591,1.29175,1.28194,1.28653,97610.13,True
'2012-06-28T23:00:00',1.28538,1.29893,1.28275,1.29487,116436.1707,1.28655,1.30027,1.28315,1.29534,118626.6402,False
'2012-06-30T23:00:00',1.29487,1.29487,1.29239,1.29239,0.0,1.29534,1.29534,1.2928,1.2928,0.0,True
'2012-07-01T23:00:00',1.2978,1.30046,1.29544,1.29828,78147.1999,1.29827,1.30115,1.2959,1.29924,78839.2098,True
'2012-07-02T23:00:00',1.29797,1.30066,1.29396,1.29826,72420.68,1.29839,1.30107,1.29446,1.29944,74269.6894,True
'2012-07-03T23:00:00',1.29733,1.30215,1.29723,1.30019,54522.7899,1.29775,1.30305,1.29772,1.30057,53911.2892,True
'2012-07-04T23:00:00',1.29941,1.30348,1.29738,1.30008,90539.4402,1.29971,1.30414,1.29778,1.30128,89573.6005,False
'2012-07-05T23:00:00',1.30016,1.30293,1.29494,1.29494,68845.5709,1.30058,1.30385,1.29533,1.29533,67689.9196,False
'2012-07-08T23:00:00',1.29664,1.29939,1.29251,1.29507,54337.2775,1.29716,1.30068,1.2929,1.29613,57542.244,False
'2012-07-09T23:00:00',1.29505,1.29736,1.29114,1.29279,61620.68,1.29617,1.29775,1.29159,1.29391,61497.0587,True
'2012-07-10T23:00:00',1.29275,1.29892,1.29101,1.29507,63697.7197,1.29391,1.29934,1.2914,1.29596,64465.8147,False
'2012-07-11T23:00:00',1.29494,1.2965,1.28435,1.28661,69827.1552,1.29606,1.2969,1.28482,1.28781,68920.9635,False
'2012-07-12T23:00:00',1.2866,1.29379,1.2804,1.2937,60346.6838,1.287,1.29494,1.28082,1.2941,58960.5443,True
'2012-07-15T23:00:00',1.2947,1.29667,1.29214,1.29475,45121.6855,1.2951,1.29715,1.29253,1.29593,45442.6202,True
'2012-07-16T23:00:00',1.2949,1.30085,1.29379,1.29969,62599.6339,1.29529,1.30164,1.29423,1.30072,62659.5178,True
'2012-07-17T23:00:00',1.29967,1.30443,1.29635,1.30266,64061.9411,1.30078,1.30509,1.29675,1.30384,67439.6345,True
'2012-07-18T23:00:00',1.30248,1.30966,1.30187,1.3065,62910.5674,1.30292,1.31011,1.30263,1.30766,61183.1539,False
'2012-07-19T23:00:00',1.30657,1.30749,1.30212,1.30299,60234.1795,1.30771,1.30823,1.30254,1.3034,61229.6218,False
'2012-07-22T23:00:00',1.30158,1.30271,1.29318,1.29348,69091.5864,1.30202,1.30431,1.2936,1.29464,70621.4007,False
'2012-07-23T23:00:00',1.29347,1.29788,1.28921,1.28977,74729.9701,1.29466,1.29825,1.29005,1.2908,74304.4999,False
'2012-07-24T23:00:00',1.28973,1.29699,1.28682,1.29364,76387.2736,1.29087,1.29757,1.28725,1.29479,77554.8722,True
'2012-07-25T23:00:00',1.29368,1.30323,1.29329,1.29988,77000.9644,1.29488,1.30347,1.29391,1.30076,75912.7222,True
'2012-07-26T23:00:00',1.29951,1.30741,1.2982,1.30681,72096.2095,1.29989,1.30868,1.2996,1.30719,74138.6202,True
'2012-07-29T23:00:00',1.30561,1.30995,1.30366,1.30822,51408.3725,1.30599,1.31045,1.3046,1.3094,52590.8841,True
'2012-07-30T23:00:00',1.30812,1.31192,1.3058,1.30689,54704.4953,1.30848,1.31234,1.30621,1.30731,57444.1853,False
'2012-07-31T23:00:00',1.3067,1.31157,1.30335,1.30488,56460.326,1.3071,1.31195,1.30385,1.30579,55920.1331,True
'2012-08-01T23:00:00',1.30463,1.31378,1.30245,1.30617,68084.3103,1.30579,1.31488,1.30285,1.30734,67266.3292,False
'2012-08-02T23:00:00',1.30616,1.31296,1.30445,1.31224,50538.0086,1.30734,1.31322,1.30525,1.31256,51810.4712,True
'2012-08-05T23:00:00',1.31232,1.31393,1.30865,1.31109,41030.4845,1.31268,1.31539,1.30899,1.31226,41674.1366,True
'2012-08-06T23:00:00',1.31115,1.31566,1.30956,1.3105,40601.5343,1.31145,1.31608,1.31004,1.31143,41199.5435,True
'2012-08-07T23:00:00',1.3103,1.31657,1.30826,1.31593,44925.8795,1.3115,1.31729,1.30895,1.31679,44246.2569,True
'2012-08-08T23:00:00',1.31593,1.31893,1.31315,1.3167,45484.7907,1.31708,1.31934,1.3136,1.31763,46316.2367,False
'2012-08-09T23:00:00',1.31656,1.31695,1.30945,1.31398,44565.8,1.31773,1.31797,1.30978,1.31442,44584.5236,False
'2012-08-12T23:00:00',1.3125,1.31549,1.30775,1.30994,39217.9499,1.3129,1.31583,1.30814,1.31077,39507.7091,False
'2012-08-13T23:00:00',1.30995,1.31275,1.30665,1.30719,42617.0383,1.31025,1.31342,1.30695,1.30813,42610.546,True
'2012-08-14T23:00:00',1.30682,1.31368,1.30587,1.31231,37827.7749,1.30717,1.3141,1.30636,1.3134,36730.8915,True
'2012-08-15T23:00:00',1.31228,1.31426,1.31045,1.31278,41748.7656,1.3134,1.31471,1.31076,1.31398,41104.5222,True
'2012-08-16T23:00:00',1.31194,1.31506,1.30311,1.30514,44493.1527,1.31226,1.31575,1.30349,1.30546,43197.4739,False
'2012-08-19T23:00:00',1.30677,1.31136,1.3048,1.30854,35976.9557,1.30723,1.31175,1.3052,1.30925,33613.7326,True
'2012-08-20T23:00:00',1.30834,1.31496,1.3074,1.3112,43967.5341,1.3095,1.31536,1.30774,1.31196,41566.7623,False
'2012-08-21T23:00:00',1.31104,1.31215,1.30401,1.31027,49239.7256,1.31216,1.31279,1.30435,1.31113,48134.0181,False
'2012-08-22T23:00:00',1.31011,1.31196,1.30171,1.30222,48763.7014,1.3113,1.3125,1.30206,1.30312,47298.0755,False
'2012-08-23T23:00:00',1.30211,1.30455,1.29766,1.29861,46583.4668,1.30249,1.30494,1.29804,1.29899,46689.0547,False
'2012-08-26T23:00:00',1.302,1.30295,1.29759,1.29817,30525.9565,1.3024,1.3047,1.29825,1.29894,30669.2506,False
'2012-08-27T23:00:00',1.29792,1.30126,1.29685,1.29969,39415.0752,1.29909,1.30158,1.29744,1.30057,38552.0229,True
'2012-08-28T23:00:00',1.29958,1.30204,1.29687,1.29729,30678.702,1.30046,1.30249,1.29747,1.29814,31124.3755,False
'2012-08-29T23:00:00',1.29717,1.29778,1.28849,1.28852,36633.8766,1.29832,1.29875,1.28925,1.28927,35971.7546,False
'2012-08-30T23:00:00',1.28835,1.29134,1.2847,1.28532,48801.4127,1.28949,1.29177,1.28505,1.28568,46538.6032,False
'2012-08-31T23:00:00',1.28532,1.28532,1.28527,1.28527,0.0,1.28568,1.28573,1.28568,1.28573,0.0,True
'2012-09-02T23:00:00',1.28263,1.28563,1.27455,1.27585,30248.5624,1.28297,1.28698,1.27504,1.27655,29907.1573,False
'2012-09-03T23:00:00',1.27533,1.27935,1.27294,1.27466,43898.1703,1.27568,1.27966,1.27339,1.27542,43094.6798,False
'2012-09-04T23:00:00',1.2745,1.2752,1.26952,1.27139,51611.7107,1.27562,1.27601,1.26984,1.27226,48630.1287,True
'2012-09-05T23:00:00',1.2712,1.27986,1.26759,1.27752,48696.9971,1.27236,1.28015,1.26894,1.27868,49116.9817,True
'2012-09-06T23:00:00',1.27746,1.28536,1.27603,1.28031,43380.0886,1.27862,1.28686,1.27725,1.28069,43430.3991,False
'2012-09-09T23:00:00',1.28031,1.28305,1.27698,1.27781,35840.0733,1.28069,1.28339,1.27764,1.27895,35033.7301,True
'2012-09-10T23:00:00',1.2778,1.28426,1.27446,1.28228,41651.2922,1.27896,1.28467,1.2748,1.28327,43138.3627,True
'2012-09-11T23:00:00',1.28227,1.2898,1.28169,1.28624,53964.4261,1.28333,1.29015,1.28246,1.28725,50544.421,True
'2012-09-12T23:00:00',1.28624,1.29367,1.2829,1.2915,52078.6276,1.28734,1.29414,1.28325,1.29234,51148.4758,True
'2012-09-13T23:00:00',1.29136,1.29438,1.28521,1.28693,56353.6582,1.29252,1.29475,1.28549,1.28727,54407.0783,False
'2012-09-16T23:00:00',1.28611,1.2887,1.28025,1.28223,53766.6517,1.28649,1.28905,1.28064,1.28304,51169.9829,False
'2012-09-17T23:00:00',1.28213,1.28285,1.27719,1.28084,59170.3975,1.28247,1.28391,1.27753,1.28165,56714.5722,True
'2012-09-18T23:00:00',1.28071,1.28474,1.27623,1.28248,50296.0983,1.28182,1.28525,1.2766,1.28343,48216.99,False
'2012-09-19T23:00:00',1.28246,1.28283,1.27208,1.27712,66852.696,1.28342,1.28457,1.27248,1.27797,63134.497,True
'2012-09-20T23:00:00',1.27699,1.28656,1.27549,1.27999,53454.8133,1.27806,1.28701,1.27606,1.28041,51528.5079,False
'2012-09-23T23:00:00',1.27893,1.28084,1.27578,1.27948,44209.0457,1.27927,1.28135,1.27615,1.28031,43801.6213,True
'2012-09-24T23:00:00',1.27941,1.28112,1.27489,1.2762,41708.1942,1.28052,1.28186,1.27561,1.27681,41711.2285,False
'2012-09-25T23:00:00',1.27629,1.27789,1.27292,1.27665,49268.8448,1.27671,1.27831,1.27359,1.27734,48568.8909,True
'2012-09-26T23:00:00',1.27616,1.28177,1.27529,1.28015,61913.3367,1.27684,1.28248,1.27591,1.28134,62387.4383,True
'2012-09-27T23:00:00',1.27999,1.28312,1.27122,1.27328,73769.5969,1.28041,1.2835,1.27171,1.27372,74732.4808,False
'2012-09-30T23:00:00',1.27178,1.2765,1.26948,1.27355,46007.1389,1.27222,1.27691,1.27056,1.27434,45482.5283,False
'2012-10-01T23:00:00',1.2725,1.27445,1.26188,1.26304,49162.8741,1.2729,1.27513,1.26232,1.26406,49012.3098,False
'2012-10-02T23:00:00',1.2628,1.26352,1.2562,1.25848,46912.6306,1.2632,1.26433,1.25662,1.25922,46136.327,False
'2012-10-03T23:00:00',1.25826,1.26068,1.25403,1.25767,49034.5219,1.2594,1.26115,1.25459,1.25831,49250.1858,False
'2012-10-04T23:00:00',1.25761,1.26034,1.24777,1.25085,44732.8813,1.25799,1.26074,1.2483,1.25259,44679.6125,False
